variable,1970,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
reporting_org,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
un_function_code,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113616652211622,0,0,0
geographic_location,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.923076923076923,0.925,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.991643454038997,0.990825688073395,0.995305164319249,0.998664886515354,0.992724333063864,0.961341671404207,0.995502102278283,0.993193849256365,0.990796232876712,0.99553118017469,0.995618180256036,0.984409799554566,0.979633895017578,0.984700040263052,0.970660146699266,0.982158629217453,0.994015611448395,0.988897700237906,1,1
grant_financing_instruments,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.947368421052632,1,1,1,0.961352657004831,0.952646239554318,0.932721712538226,0.863849765258216,0.830440587449933,0.806790622473727,0.344798180784537,0.872983279554122,0.682883791278044,0.738227739726027,0.721917529961406,0.923876621702895,0.813088915538804,0.940901927506364,0.860287209770501,0.928724901830036,0.864334923158453,0.953252385082394,0.97065820777161,1,1
sdgs_sector_tag_result,1,1,1,0.181818181818182,0,0.0357142857142857,0.0714285714285714,0.0357142857142857,0.111111111111111,0.103448275862069,0,0,0.0416666666666667,0,0.0769230769230769,0.075,0.04,0,0.0285714285714286,0.0357142857142857,0.133333333333333,0.0294117647058824,0,0.0487804878048781,0.02,0.0285714285714286,0.0789473684210526,0.09375,0.291666666666667,0.184738955823293,0.246376811594203,0.186629526462396,0.284403669724771,0.303599374021909,0.260347129506008,0.194017784963622,0.102615122228539,0.695511880316809,0.436349886564154,0.462542808219178,0.454803981312208,0.640347108858149,0.489977728285078,0.703176142562735,0.582337941215944,0.681410683855672,0.559088500264971,0.662098872506505,0.490880253766852,0,0
contributor,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.928620318764056,0.99697504411394,0.993364726027397,0.99106236034938,0.9442391958072,0.986123008394723,0.964419929688447,0.95463696148168,0.929317626139142,0.931107578166402,0.900607111882047,0.997620935765266,1,1
vocab_1_sector_code,1,1,0,0,0,0.0357142857142857,0.142857142857143,0.0357142857142857,0.037037037037037,0,0,0,0,0,0.0384615384615385,0.35,0,0,0,0.0357142857142857,0.222222222222222,0.176470588235294,0.19047619047619,0.317073170731707,0.42,0.6,0.368421052631579,0.375,0.611111111111111,0.899598393574297,0.777777777777778,0.841225626740947,0.819571865443425,0.801251956181534,0.771695594125501,0.767987065481002,0.332291074474133,0.867409797594603,0.666246533904714,0.706763698630137,0.693276457444648,0.901623850846293,0.779338701387699,0.793975027276033,0.847403033149913,0.889753278506335,0.885709238650415,0.95316565481353,0.892942109436955,0,0
gender_marker,0,0,0,0,0,0,0.119047619047619,0.0357142857142857,0.037037037037037,0,0,0,0,0,0,0,0,0.0434782608695652,0,0.0357142857142857,0.155555555555556,0.0882352941176471,0.0714285714285714,0.170731707317073,0.14,0.271428571428571,0.210526315789474,0.25,0.236111111111111,0.373493975903614,0.367149758454106,0.384401114206128,0.498470948012232,0.370892018779343,0.431241655540721,0.35408245755861,0.738772029562251,0.816075095335876,0.729014368540459,0.711900684931507,0.757058704042251,0.31858407079646,0.654103135172178,0.343071887501515,0.601664206146826,0.37956582944358,0.599187422716835,0.340329575021683,0.881046788263283,0,0
basic_activity_data,1,0,1,1,1,1,1,1,1,1,1,1,0.958333333333333,1,0.846153846153846,0.925,1,0.956521739130435,0.971428571428571,1,1,1,1,1,1,1,0.973684210526316,1,0.958333333333333,1,0.990338164251208,0.969359331476323,0.987767584097859,0.992175273865415,0.997329773030708,0.983831851253031,0.960773166571916,0.99462207881099,0.99092513234182,0.986515410958904,0.992078001218769,0.984878425981614,0.976529038889841,0.971451084979998,0.966984297409744,0.96095428613766,0.957781310722487,0.977016478751084,0.924662965900079,1,1
finance_type,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.921052631578947,1,1,1,0.961352657004831,0.952646239554318,0.932721712538226,0.863849765258216,0.829105473965287,0.805982215036378,0.344798180784537,0.872201036472084,0.682883791278044,0.735659246575342,0.721308145439773,0.923189277429332,0.811718348466678,0.939507819129591,0.857200375788485,0.928724901830036,0.864334923158453,0.953252385082394,0.959555908009516,0,0
incoming_funds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.0666666666666667,0,0.0238095238095238,0.024390243902439,0.04,0.142857142857143,0,0,0.138888888888889,0.305220883534137,0.193236714975845,0.239554317548747,0.262996941896024,0.18622848200313,0.16154873164219,0.128536782538399,0.0596930073905628,0.0295296763469248,0.0965465086967482,0.115154109589041,0.15478366849482,0.576939599621961,0.220147335960254,0.481452297248151,0.352167494296068,0.626731866340668,0.355060943296237,0.693928881179532,0.201427438540841,0,0
